formula;type;rate;strlen;mode;rep;time;memory;fp;fn
ex1;a;0;0;bypass;1;20.50;14020;0.0000e+00;0.0000e+00
ex1;a;0;0;off;1;20.31;13940;0.0000e+00;0.0000e+00
ex1;a;0;0;single;1;17.15;13128;8.9266e-06;8.9266e-06
ex1;a;0;0;merged;1;17.18;12052;1.3381e-05;1.3381e-05
frd;a;0;0;bypass;1;22.67;36252;0.0000e+00;0.0000e+00
frd;a;0;0;off;1;22.73;40488;0.0000e+00;0.0000e+00
frd;a;0;0;single;1;22.35;29436;1.4695e-10;1.4695e-10
frd;a;0;0;merged;1;22.22;24408;2.2028e-10;2.2028e-10
e1;s;2000;100;bypass;1;2.23;26652;0.0000e+00;0.0000e+00
e1;s;2000;100;merged;1;2.46;26804;3.3201e-15;0.0000e+00
e1;s;2000;100;dejavu;1;14.67;1043576;0;0
e2;s;2000;100;bypass;1;1540.43;12896;0.0000e+00;0.0000e+00
e2;s;2000;100;merged;1;1201.60;12432;0.0000e+00;1.6626e-11
e2;s;2000;100;dejavu;1;18.75;999456;0;0
e1;m;20000;100;bypass;1;12.40;82824;0.0000e+00;0.0000e+00
e1;m;20000;100;off;1;12.80;73224;0.0000e+00;0.0000e+00
e1;m;20000;100;single;1;14.36;64552;2.2168e-10;0.0000e+00
e1;m;20000;100;merged;1;14.36;64892;3.3230e-10;0.0000e+00
e2;m;20000;100;bypass;1;28.84;57360;0.0000e+00;0.0000e+00
e2;m;20000;100;off;1;27.46;57372;0.0000e+00;0.0000e+00
e2;m;20000;100;single;1;26.17;45508;0.0000e+00;9.8450e-10
e2;m;20000;100;merged;1;26.12;45652;0.0000e+00;1.4758e-09
e3;m;20000;100;bypass;1;9.28;82872;0.0000e+00;0.0000e+00
e3;m;20000;100;off;1;10.97;106728;0.0000e+00;0.0000e+00
e3;m;20000;100;single;1;15.68;82952;9.8686e-10;2.1809e-10
e3;m;20000;100;merged;1;15.69;83016;1.4793e-09;3.2692e-10
e3_let;m;20000;100;bypass;1;9.71;82848;0.0000e+00;0.0000e+00
e3_let;m;20000;100;off;1;10.27;82852;0.0000e+00;0.0000e+00
e3_let;m;20000;100;single;1;12.63;57484;9.8686e-10;2.1809e-10
e3_let;m;20000;100;merged;1;12.63;57652;1.4793e-09;3.2692e-10
e4;m;50;100;bypass;1;12.16;32120;0.0000e+00;0.0000e+00
e4;m;50;100;off;1;13.60;50252;0.0000e+00;0.0000e+00
e4;m;50;100;single;1;12.91;56436;1.2055e-09;0.0000e+00
e4;m;50;100;merged;1;14.61;41932;1.8071e-09;0.0000e+00
ex1;a;0;0;bypass;2;20.49;13976;0.0000e+00;0.0000e+00
ex1;a;0;0;off;2;20.33;13992;0.0000e+00;0.0000e+00
ex1;a;0;0;single;2;17.35;13236;8.9266e-06;8.9266e-06
ex1;a;0;0;merged;2;17.28;12704;1.3381e-05;1.3381e-05
frd;a;0;0;bypass;2;22.73;36304;0.0000e+00;0.0000e+00
frd;a;0;0;off;2;22.80;40488;0.0000e+00;0.0000e+00
frd;a;0;0;single;2;22.37;29468;1.4695e-10;1.4695e-10
frd;a;0;0;merged;2;22.26;24480;2.2028e-10;2.2028e-10
e1;s;2000;100;bypass;2;2.19;26740;0.0000e+00;0.0000e+00
e1;s;2000;100;merged;2;2.42;26896;3.3152e-15;0.0000e+00
e1;s;2000;100;dejavu;2;14.85;1003672;0;0
e2;s;2000;100;bypass;2;1528.66;13760;0.0000e+00;0.0000e+00
e2;s;2000;100;merged;2;1188.83;12260;0.0000e+00;1.6732e-11
e2;s;2000;100;dejavu;2;19.49;1025236;0;0
e1;m;20000;100;bypass;2;12.60;82888;0.0000e+00;0.0000e+00
e1;m;20000;100;off;2;12.56;82844;0.0000e+00;0.0000e+00
e1;m;20000;100;single;2;14.24;64648;2.2092e-10;0.0000e+00
e1;m;20000;100;merged;2;14.28;64844;3.3115e-10;0.0000e+00
e2;m;20000;100;bypass;2;28.91;57280;0.0000e+00;0.0000e+00
e2;m;20000;100;off;2;27.62;57396;0.0000e+00;0.0000e+00
e2;m;20000;100;single;2;26.10;45572;0.0000e+00;9.8420e-10
e2;m;20000;100;merged;2;26.25;45568;0.0000e+00;1.4753e-09
e3;m;20000;100;bypass;2;9.36;82860;0.0000e+00;0.0000e+00
e3;m;20000;100;off;2;10.86;106772;0.0000e+00;0.0000e+00
e3;m;20000;100;single;2;16.32;82960;9.8677e-10;2.1788e-10
e3;m;20000;100;merged;2;16.35;83004;1.4792e-09;3.2660e-10
e3_let;m;20000;100;bypass;2;9.70;82788;0.0000e+00;0.0000e+00
e3_let;m;20000;100;off;2;10.27;82936;0.0000e+00;0.0000e+00
e3_let;m;20000;100;single;2;12.60;57336;9.8677e-10;2.1788e-10
e3_let;m;20000;100;merged;2;12.58;57772;1.4792e-09;3.2660e-10
e4;m;50;100;bypass;2;12.06;32072;0.0000e+00;0.0000e+00
e4;m;50;100;off;2;13.48;50220;0.0000e+00;0.0000e+00
e4;m;50;100;single;2;12.86;44720;1.0924e-09;0.0000e+00
